mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,new_state,rect_count,tag_count,status,detail
APPLY,167,1,2,15038,DONE,DONE,5,6,UPDATED,
APPLY,167,1,3,15039,DONE,DONE,5,6,UPDATED,
APPLY,167,1,4,15040,DONE,DONE,3,6,UPDATED,
APPLY,167,1,5,15041,DONE,DONE,3,6,UPDATED,
APPLY,167,1,6,15042,DONE,DONE,3,6,UPDATED,
APPLY,167,1,7,15043,DONE,DONE,4,6,UPDATED,
APPLY,167,1,8,15044,DONE,DONE,4,6,UPDATED,
APPLY,167,1,9,15045,DONE,DONE,4,6,UPDATED,
APPLY,167,1,10,15046,DONE,DONE,3,6,UPDATED,
APPLY,167,1,11,15047,DONE,DONE,2,6,UPDATED,
APPLY,167,1,12,15048,DONE,DONE,3,6,UPDATED,
APPLY,167,1,13,15049,DONE,DONE,4,6,UPDATED,
APPLY,167,1,14,15050,DONE,DONE,4,6,UPDATED,
APPLY,167,1,15,15051,DONE,DONE,4,6,UPDATED,
APPLY,167,1,16,15052,DONE,DONE,4,6,UPDATED,
APPLY,167,1,17,15053,DONE,DONE,2,6,UPDATED,
APPLY,167,1,18,15054,DONE,DONE,3,6,UPDATED,
APPLY,167,1,19,15055,DONE,DONE,3,6,UPDATED,
APPLY,167,1,20,15056,DONE,DONE,2,6,UPDATED,
APPLY,167,1,21,15057,DONE,DONE,2,6,UPDATED,
APPLY,167,1,22,15058,DONE,DONE,5,6,UPDATED,
APPLY,167,1,23,15059,DONE,DONE,4,6,UPDATED,
APPLY,167,1,24,15060,DONE,DONE,4,6,UPDATED,
APPLY,167,1,25,15061,DONE,DONE,2,6,UPDATED,
APPLY,167,1,26,15062,DONE,DONE,2,6,UPDATED,
APPLY,167,1,27,15063,DONE,DONE,4,6,UPDATED,
APPLY,167,1,28,15064,DONE,DONE,5,6,UPDATED,
APPLY,167,1,29,15065,DONE,DONE,4,6,UPDATED,
APPLY,167,1,30,15066,DONE,DONE,2,6,UPDATED,
APPLY,167,1,31,15067,DONE,DONE,4,6,UPDATED,
APPLY,167,1,32,15068,DONE,DONE,5,6,UPDATED,
APPLY,167,1,33,15069,DONE,DONE,7,6,UPDATED,
APPLY,167,1,34,15070,DONE,DONE,4,6,UPDATED,
APPLY,167,1,35,15071,DONE,DONE,4,6,UPDATED,
APPLY,167,1,36,15072,DONE,DONE,5,6,UPDATED,
APPLY,167,1,37,15073,DONE,DONE,5,6,UPDATED,
APPLY,167,1,38,15074,DONE,DONE,5,6,UPDATED,
APPLY,167,1,39,15075,DONE,DONE,3,6,UPDATED,
APPLY,167,1,40,15076,DONE,DONE,4,6,UPDATED,
APPLY,167,1,41,15077,DONE,DONE,4,6,UPDATED,
APPLY,167,1,42,15078,DONE,DONE,5,6,UPDATED,
APPLY,167,1,43,15079,DONE,DONE,3,6,UPDATED,
APPLY,167,1,44,15080,DONE,DONE,3,6,UPDATED,
APPLY,167,1,45,15081,DONE,DONE,6,6,UPDATED,
APPLY,167,1,46,15082,DONE,DONE,6,6,UPDATED,
APPLY,167,1,47,15083,DONE,DONE,7,6,UPDATED,
APPLY,167,1,48,15084,DONE,DONE,6,6,UPDATED,
APPLY,167,1,49,15085,DONE,DONE,6,6,UPDATED,
APPLY,167,1,50,15086,DONE,DONE,5,6,UPDATED,
APPLY,167,1,51,15087,DONE,DONE,8,6,UPDATED,
APPLY,167,1,52,15088,DONE,DONE,5,6,UPDATED,
APPLY,167,1,53,15089,DONE,DONE,4,6,UPDATED,
APPLY,167,1,54,15090,DONE,DONE,5,6,UPDATED,
APPLY,167,1,55,15091,DONE,DONE,6,6,UPDATED,
APPLY,167,1,56,15092,DONE,DONE,6,6,UPDATED,
APPLY,167,1,57,15093,DONE,DONE,6,6,UPDATED,
APPLY,167,1,58,15094,DONE,DONE,6,6,UPDATED,
APPLY,167,1,59,15095,DONE,DONE,5,6,UPDATED,
APPLY,167,1,60,15096,DONE,DONE,4,6,UPDATED,
APPLY,167,1,61,15097,DONE,DONE,4,6,UPDATED,
APPLY,167,1,62,15098,DONE,DONE,5,6,UPDATED,
APPLY,167,1,63,15099,DONE,DONE,4,6,UPDATED,
APPLY,167,1,64,15100,DONE,DONE,4,6,UPDATED,
APPLY,167,1,65,15101,DONE,DONE,5,6,UPDATED,
APPLY,167,1,66,15102,DONE,DONE,3,6,UPDATED,
