mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,rect_count,tag_count,status,detail
both,167,369,370,15406,DONE,5,6,UPDATED,
both,167,369,371,15407,DONE,5,6,UPDATED,
both,167,369,372,15408,DONE,5,6,UPDATED,
both,167,369,373,15409,DONE,5,6,UPDATED,
both,167,369,374,15410,DONE,5,6,UPDATED,
both,167,369,375,15411,DONE,5,6,UPDATED,
both,167,369,376,15412,DONE,5,6,UPDATED,
both,167,369,377,15413,NEW,5,6,UPDATED,
both,167,369,378,15414,NEW,5,6,UPDATED,
both,167,369,379,15415,NEW,5,6,UPDATED,
both,167,369,380,15416,NEW,5,6,UPDATED,
