mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,rect_count,tag_count,status,detail
both,167,380,381,15417,DONE,7,6,UPDATED,
both,167,380,382,15418,DONE,7,6,UPDATED,
both,167,380,383,15419,DONE,7,6,UPDATED,
both,167,380,384,15420,DONE,7,6,UPDATED,
both,167,380,385,15421,DONE,7,6,UPDATED,
both,167,380,386,15422,DONE,7,6,UPDATED,
both,167,380,387,15423,DONE,7,6,UPDATED,
both,167,380,388,15424,DONE,7,6,UPDATED,
both,167,380,389,15425,NEW,7,6,UPDATED,
both,167,380,390,15426,DONE,7,6,UPDATED,
