mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,rect_count,tag_count,status,detail
both,148,4057,4058,10514,DONE,15,6,UPDATED,
both,148,4057,4059,10515,DONE,15,6,UPDATED,
both,148,4057,4060,10516,DONE,15,6,UPDATED,
both,148,4057,4061,10517,DONE,15,6,UPDATED,
both,148,4057,4062,10518,DONE,15,6,UPDATED,
both,148,4057,4063,10519,DONE,15,6,UPDATED,
both,148,4057,4064,10520,DONE,15,6,UPDATED,
both,148,4057,4065,10521,DONE,15,6,UPDATED,
both,148,4057,4066,10522,DONE,15,6,UPDATED,
