mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,rect_count,tag_count,status,detail
both,167,428,429,15465,NEW,1,6,UPDATED,
both,167,428,430,15466,NEW,1,6,UPDATED,
both,167,428,431,15467,NEW,1,6,UPDATED,
both,167,428,432,15468,NEW,1,6,UPDATED,
both,167,428,433,15469,NEW,1,6,UPDATED,
both,167,428,434,15470,NEW,1,6,UPDATED,
both,167,428,435,15471,NEW,1,6,UPDATED,
both,167,428,436,15472,NEW,1,6,UPDATED,
both,167,428,437,15473,NEW,1,6,UPDATED,
both,167,428,438,15474,NEW,1,6,UPDATED,
both,167,428,439,15475,NEW,1,6,UPDATED,
both,167,428,440,15476,NEW,1,6,UPDATED,
both,167,428,441,15477,NEW,1,6,UPDATED,
both,167,428,442,15478,NEW,1,6,UPDATED,
both,167,428,443,15479,NEW,1,6,UPDATED,
both,167,428,444,15480,NEW,1,6,UPDATED,
both,167,428,445,15481,NEW,1,6,UPDATED,
both,167,428,446,15482,NEW,1,6,UPDATED,
both,167,428,447,15483,NEW,1,6,UPDATED,
both,167,428,448,15484,NEW,1,6,UPDATED,
both,167,428,449,15485,NEW,1,6,UPDATED,
both,167,428,450,15486,NEW,1,6,UPDATED,
both,167,428,451,15487,NEW,1,6,UPDATED,
both,167,428,452,15488,NEW,1,6,UPDATED,
both,167,428,453,15489,NEW,1,6,UPDATED,
both,167,428,454,15490,NEW,1,6,UPDATED,
both,167,428,455,15491,NEW,1,6,UPDATED,
both,167,428,456,15492,NEW,1,6,UPDATED,
both,167,428,457,15493,NEW,1,6,UPDATED,
both,167,428,458,15494,NEW,1,6,UPDATED,
both,167,428,459,15495,NEW,1,6,UPDATED,
both,167,428,460,15496,NEW,1,6,UPDATED,
both,167,428,461,15497,NEW,1,6,UPDATED,
both,167,428,462,15498,NEW,1,6,UPDATED,
both,167,428,463,15499,NEW,1,6,UPDATED,
both,167,428,464,15500,NEW,1,6,UPDATED,
both,167,428,465,15501,NEW,1,6,UPDATED,
both,167,428,466,15502,NEW,1,6,UPDATED,
both,167,428,467,15503,NEW,1,6,UPDATED,
both,167,428,468,15504,NEW,1,6,UPDATED,
both,167,428,469,15505,NEW,1,6,UPDATED,
both,167,428,470,15506,NEW,1,6,UPDATED,
both,167,428,471,15507,NEW,1,6,UPDATED,
both,167,428,472,15508,NEW,1,6,UPDATED,
both,167,428,473,15509,NEW,1,6,UPDATED,
both,167,428,474,15510,NEW,1,6,UPDATED,
both,167,428,475,15511,NEW,1,6,UPDATED,
both,167,428,476,15512,NEW,1,6,UPDATED,
both,167,428,477,15513,NEW,1,6,UPDATED,
both,167,428,478,15514,NEW,1,6,UPDATED,
both,167,428,479,15515,NEW,1,6,UPDATED,
both,167,428,480,15516,NEW,1,6,UPDATED,
both,167,428,481,15517,NEW,1,6,UPDATED,
both,167,428,482,15518,NEW,1,6,UPDATED,
both,167,428,483,15519,NEW,1,6,UPDATED,
both,167,428,484,15520,NEW,1,6,UPDATED,
