mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,rect_count,tag_count,status,detail
APPLY,167,212,213,15249,NEW,11,0,UPDATED,
APPLY,167,212,214,15250,NEW,11,0,UPDATED,
APPLY,167,212,215,15251,NEW,11,0,UPDATED,
APPLY,167,212,216,15252,NEW,11,0,UPDATED,
APPLY,167,212,217,15253,NEW,11,0,UPDATED,
APPLY,167,212,218,15254,NEW,11,0,UPDATED,
APPLY,167,212,219,15255,NEW,11,0,UPDATED,
APPLY,167,212,220,15256,NEW,11,0,UPDATED,
APPLY,167,212,221,15257,NEW,11,0,UPDATED,
APPLY,167,212,222,15258,NEW,11,0,UPDATED,
APPLY,167,212,223,15259,NEW,11,0,UPDATED,
APPLY,167,212,224,15260,NEW,11,0,UPDATED,
APPLY,167,212,225,15261,NEW,11,0,UPDATED,
APPLY,167,212,226,15262,NEW,11,0,UPDATED,
APPLY,167,212,227,15263,NEW,11,0,UPDATED,
APPLY,167,212,228,15264,NEW,11,0,UPDATED,
APPLY,167,212,229,15265,NEW,11,0,UPDATED,
APPLY,167,212,230,15266,NEW,11,0,UPDATED,
APPLY,167,212,231,15267,NEW,11,0,UPDATED,
APPLY,167,212,232,15268,NEW,11,0,UPDATED,
APPLY,167,212,233,15269,NEW,11,0,UPDATED,
APPLY,167,212,234,15270,NEW,11,0,UPDATED,
APPLY,167,212,235,15271,NEW,11,0,UPDATED,
APPLY,167,212,236,15272,NEW,11,0,UPDATED,
